state_abbr,county_name,venue_rating,fips,binge_drinking_pct,binge_drinking_ci_lo,binge_drinking_ci_hi,cdc_places_year
AK,Aleutians East,Plaintiff,02013,15.2,12.3,18.4,2023
AK,Aleutians West,Plaintiff,02016,18.5,15.3,22.2,2023
AK,Anchorage,Neutral,02020,18.0,15.7,20.3,2023
AK,Bethel,Plaintiff,02050,16.3,13.7,19.8,2023
AK,Bristol Bay,Plaintiff,02060,18.3,15.1,21.6,2023
AK,Denali,Defense,02068,20.0,16.6,23.8,2023
AK,Dillingham,Plaintiff,02070,18.0,14.8,21.5,2023
AK,Fairbanks North Star,Defense,02090,18.2,15.7,21.0,2023
AK,Haines,Neutral,02100,16.4,13.6,19.6,2023
AK,Juneau,Neutral,02110,18.8,16.0,21.7,2023
AK,Kenai Peninsula,Defense,02122,17.1,14.6,20.0,2023
AK,Ketchikan Gateway,Neutral,02130,17.9,14.9,21.2,2023
AK,Kodiak Island,Neutral,02150,17.2,14.1,20.6,2023
AK,Lake And Peninsula,Plaintiff,02164,16.0,12.9,19.3,2023
AK,Matanuska-Susitna,Defense,02170,16.3,14.1,18.9,2023
AK,Nome,Plaintiff,02180,18.5,15.3,21.9,2023
AK,North Slope,Plaintiff,02185,20.3,16.9,24.0,2023
AK,Northwest Arctic,Plaintiff,02188,17.4,14.2,21.0,2023
AK,Prince of Wales-Outer Ketchikan,Neutral,02198,15.7,12.7,18.9,2023
AK,Sitka,Neutral,02220,17.5,14.5,20.8,2023
AK,Skagway,Neutral,02230,18.2,14.8,21.7,2023
AK,Southeast Fairbanks,Neutral,02240,18.0,15.1,21.3,2023
AK,Valdez-Cordova,Neutral,02261,,,,no_data
AK,Wade Hampton,Plaintiff,02270,,,,no_data
AK,Wrangell,Neutral,02275,14.9,12.2,17.8,2023
AK,Yakutat,Neutral,02282,16.2,13.3,19.7,2023
AL,Autauga,Defense,01001,14.3,11.6,17.3,2023
AL,Baldwin,Neutral,01003,14.6,12.1,17.2,2023
AL,Barbour,Plaintiff,01005,12.4,10.0,15.1,2023
AL,Bibb,Neutral,01007,14.0,11.4,17.1,2023
AL,Blount,Neutral,01009,14.5,11.7,17.7,2023
AL,Bullock,Plaintiff,01011,10.6,8.5,13.0,2023
AL,Butler,Defense,01013,11.6,9.2,14.2,2023
AL,Calhoun,Neutral,01015,14.3,11.7,17.1,2023
AL,Chambers,Neutral,01017,11.8,9.5,14.4,2023
AL,Cherokee,Neutral,01019,13.5,11.0,16.5,2023
AL,Chilton,Defense,01021,14.2,11.5,17.0,2023
AL,Choctaw,Plaintiff,01023,11.3,9.1,13.9,2023
AL,Clarke,Plaintiff,01025,11.6,9.3,14.1,2023
AL,Clay,Defense,01027,13.3,10.5,16.1,2023
AL,Cleburne,Neutral,01029,14.6,11.8,17.5,2023
AL,Coffee,Plaintiff,01031,14.4,11.7,17.4,2023
AL,Colbert,Neutral,01033,14.0,11.3,17.1,2023
AL,Conecuh,Plaintiff,01035,10.6,8.5,12.9,2023
AL,Coosa,Defense,01037,12.0,9.7,14.7,2023
AL,Covington,Defense,01039,12.9,10.4,15.6,2023
AL,Crenshaw,Neutral,01041,13.4,11.0,16.2,2023
AL,Cullman,Defense,01043,15.3,12.4,18.4,2023
AL,Dale,Defense,01045,13.3,10.8,16.1,2023
AL,Dallas,Plaintiff,01047,10.1,8.1,12.4,2023
AL,De Kalb,Neutral,01049,14.1,11.4,17.3,2023
AL,Elmore,Neutral,01051,14.8,12.1,17.9,2023
AL,Escambia,Neutral,01053,12.9,10.5,15.7,2023
AL,Etowah,Neutral,01055,13.9,11.3,16.9,2023
AL,Fayette,Neutral,01057,13.7,11.1,16.9,2023
AL,Franklin,Neutral,01059,13.7,11.1,16.6,2023
AL,Geneva,Neutral,01061,14.0,11.4,16.8,2023
AL,Greene,Plaintiff,01063,8.8,7.0,10.8,2023
AL,Hale,Plaintiff,01065,11.2,9.0,13.6,2023
AL,Henry,Defense,01067,12.7,10.2,15.5,2023
AL,Houston,Defense,01069,13.3,11.0,16.0,2023
AL,Jackson,Neutral,01071,13.9,11.2,16.9,2023
AL,Jefferson,Plaintiff,01073,14.5,12.2,16.9,2023
AL,Lamar,Neutral,01075,13.3,10.7,16.2,2023
AL,Lauderdale,Defense,01077,14.6,11.9,17.7,2023
AL,Lawrence,Defense,01079,14.0,11.2,16.9,2023
AL,Lee,Defense,01081,15.5,12.8,18.6,2023
AL,Limestone,Neutral,01083,15.3,12.5,18.4,2023
AL,Lowndes,Plaintiff,01085,9.6,7.6,11.6,2023
AL,Macon,Plaintiff,01087,10.4,8.4,12.7,2023
AL,Madison,Defense,01089,14.6,11.9,17.4,2023
AL,Marengo,Plaintiff,01091,11.5,9.3,13.9,2023
AL,Marion,Neutral,01093,13.9,11.3,16.8,2023
AL,Marshall,Neutral,01095,14.8,12.1,17.9,2023
AL,Mobile,Plaintiff,01097,13.7,11.4,16.2,2023
AL,Monroe,Neutral,01099,11.4,9.3,14.0,2023
AL,Montgomery,Plaintiff,01101,12.2,10.0,14.8,2023
AL,Morgan,Neutral,01103,14.3,11.6,17.3,2023
AL,Perry,Plaintiff,01105,9.7,7.8,12.0,2023
AL,Pickens,Neutral,01107,12.6,10.4,15.2,2023
AL,Pike,Neutral,01109,13.9,11.4,17.0,2023
AL,Randolph,Neutral,01111,13.3,10.7,16.2,2023
AL,Russell,Plaintiff,01113,13.0,10.7,15.7,2023
AL,St. Clair,Neutral,01115,15.3,12.5,18.6,2023
AL,Shelby,Defense,01117,16.3,13.5,19.5,2023
AL,Sumter,Plaintiff,01119,10.9,8.8,13.4,2023
AL,Talladega,Defense,01121,13.2,10.7,16.0,2023
AL,Tallapoosa,Neutral,01123,12.7,10.3,15.6,2023
AL,Tuscaloosa,Neutral,01125,15.6,12.9,18.5,2023
AL,Walker,Neutral,01127,13.7,11.1,16.5,2023
AL,Washington,Plaintiff,01129,12.9,10.4,15.6,2023
AL,Wilcox,Plaintiff,01131,9.8,7.8,12.0,2023
AL,Winston,Neutral,01133,13.5,11.0,16.4,2023
AZ,Apache,Defense,04001,12.2,10.1,14.4,2023
AZ,Cochise,Defense,04003,13.4,11.3,15.9,2023
AZ,Coconino,Neutral,04005,16.5,14.1,19.0,2023
AZ,Gila,Defense,04007,13.7,11.6,16.0,2023
AZ,Graham,Defense,04009,16.0,13.1,19.2,2023
AZ,Greenlee,Defense,04011,17.0,13.9,20.4,2023
AZ,La Paz,Defense,04012,10.9,8.8,13.4,2023
AZ,Maricopa,Neutral,04013,16.0,14.2,17.8,2023
AZ,Mohave,Neutral,04015,14.3,12.0,16.8,2023
AZ,Navajo,Defense,04017,11.9,10.0,14.0,2023
AZ,Pima,Plaintiff,04019,14.2,12.3,16.2,2023
AZ,Pinal,Neutral,04021,14.9,12.6,17.2,2023
AZ,Santa Cruz,Defense,04023,13.9,11.4,16.7,2023
AZ,Yavapai,Neutral,04025,13.9,11.8,16.1,2023
AZ,Yuma,Neutral,04027,15.2,12.6,18.0,2023
AR,Arkansas,Neutral,05001,13.5,11.0,16.3,2023
AR,Ashley,Neutral,05003,12.6,10.2,15.2,2023
AR,Baxter,Defense,05005,12.3,10.0,15.0,2023
AR,Benton,Defense,05007,16.6,14.1,19.6,2023
AR,Boone,Defense,05009,14.6,11.8,17.7,2023
AR,Bradley,Neutral,05011,12.3,9.9,15.1,2023
AR,Calhoun,Defense,05013,13.7,11.0,16.6,2023
AR,Carroll,Defense,05015,13.5,10.8,16.3,2023
AR,Chicot,Plaintiff,05017,11.4,9.2,13.8,2023
AR,Clark,Defense,05019,14.7,11.8,17.9,2023
AR,Clay,Defense,05021,13.9,11.3,16.8,2023
AR,Cleburne,Defense,05023,13.6,11.0,16.3,2023
AR,Cleveland,Defense,05025,13.5,11.0,16.5,2023
AR,Columbia,Defense,05027,13.5,11.0,16.3,2023
AR,Conway,Neutral,05029,13.8,11.2,16.6,2023
AR,Craighead,Neutral,05031,15.3,12.7,18.3,2023
AR,Crawford,Defense,05033,14.8,12.0,18.1,2023
AR,Crittenden,Plaintiff,05035,12.4,10.0,15.2,2023
AR,Cross,Neutral,05037,13.4,10.8,16.2,2023
AR,Dallas,Defense,05039,12.0,9.7,14.5,2023
AR,Desha,Plaintiff,05041,10.8,8.6,13.1,2023
AR,Drew,Neutral,05043,13.3,10.8,16.1,2023
AR,Faulkner,Neutral,05045,16.9,14.1,20.1,2023
AR,Franklin,Neutral,05047,14.2,11.5,17.4,2023
AR,Fulton,Defense,05049,12.7,10.3,15.3,2023
AR,Garland,Defense,05051,13.9,11.4,16.7,2023
AR,Grant,Defense,05053,15.2,12.3,18.2,2023
AR,Greene,Defense,05055,14.8,12.1,17.9,2023
AR,Hempstead,Neutral,05057,13.0,10.5,15.7,2023
AR,Hot Spring,Defense,05059,14.2,11.7,17.2,2023
AR,Howard,Defense,05061,13.6,10.9,16.6,2023
AR,Independence,Neutral,05063,14.7,12.0,17.6,2023
AR,Izard,Defense,05065,13.7,11.1,16.6,2023
AR,Jackson,Neutral,05067,13.8,11.0,16.8,2023
AR,Jefferson,Plaintiff,05069,12.2,10.1,14.8,2023
AR,Johnson,Neutral,05071,13.9,11.4,16.7,2023
AR,Lafayette,Defense,05073,11.2,9.0,13.8,2023
AR,Lawrence,Neutral,05075,14.5,11.7,17.6,2023
AR,Lee,Plaintiff,05077,12.6,10.2,15.3,2023
AR,Lincoln,Defense,05079,15.5,12.6,18.7,2023
AR,Little River,Defense,05081,13.1,10.5,15.8,2023
AR,Logan,Defense,05083,15.0,12.2,18.0,2023
AR,Lonoke,Neutral,05085,16.0,13.0,19.5,2023
AR,Madison,Defense,05087,14.7,11.9,17.8,2023
AR,Marion,Defense,05089,12.5,10.2,15.0,2023
AR,Miller,Neutral,05091,13.4,11.0,16.2,2023
AR,Mississippi,Plaintiff,05093,13.5,11.0,16.4,2023
AR,Monroe,Neutral,05095,11.1,8.9,13.6,2023
AR,Montgomery,Defense,05097,12.7,10.3,15.5,2023
AR,Nevada,Defense,05099,12.0,9.8,14.8,2023
AR,Newton,Defense,05101,13.6,11.0,16.4,2023
AR,Ouachita,Neutral,05103,12.0,9.7,14.7,2023
AR,Perry,Defense,05105,14.5,11.9,17.6,2023
AR,Phillips,Plaintiff,05107,10.4,8.4,12.7,2023
AR,Pike,Defense,05109,14.4,11.6,17.5,2023
AR,Poinsett,Neutral,05111,13.9,11.3,16.6,2023
AR,Polk,Neutral,05113,13.8,11.2,16.6,2023
AR,Pope,Neutral,05115,15.1,12.3,18.0,2023
AR,Prairie,Neutral,05117,13.7,11.1,16.5,2023
