state_abbr,county_name,venue_rating,fips,population,median_hh_income,edu_pop_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,pct_bachelors_plus,ALAND_SQMI,pop_density_sqmi,urban_class
AK,Aleutians East,Plaintiff,02013,3407.0,79961.0,2675.0,339.0,106.0,7.0,1.0,16.9,6986.254,0.49,Rural
AK,Aleutians West,Plaintiff,02016,5219.0,100662.0,3861.0,508.0,73.0,11.0,4.0,15.4,4393.026,1.19,Rural
AK,Anchorage,Neutral,02020,290674.0,95731.0,192454.0,44340.0,18753.0,5322.0,2859.0,37.0,1707.004,170.28,Urban
AK,Bethel,Plaintiff,02050,18538.0,64094.0,10109.0,532.0,379.0,67.0,2.0,9.7,40638.578,0.46,Rural
AK,Bristol Bay,Plaintiff,02060,854.0,94167.0,636.0,139.0,24.0,2.0,2.0,26.3,481.952,1.77,Rural
AK,Denali,Defense,02068,2101.0,87292.0,1674.0,229.0,176.0,16.0,0.0,25.1,12641.049,0.17,Rural
AK,Dillingham,Plaintiff,02070,4854.0,69412.0,2902.0,329.0,154.0,40.0,71.0,20.5,18333.994,0.26,Rural
AK,Fairbanks North Star,Defense,02090,96299.0,81655.0,61350.0,12039.0,5358.0,1111.0,1704.0,32.9,7334.752,13.13,Suburban
AK,Haines,Neutral,02100,2079.0,68276.0,1420.0,238.0,220.0,20.0,0.0,33.7,2343.605,0.89,Rural
AK,Juneau,Neutral,02110,32108.0,95711.0,22947.0,5922.0,2241.0,735.0,450.0,40.7,2704.203,11.87,Rural
AK,Kenai Peninsula,Defense,02122,59235.0,76272.0,41645.0,7313.0,3302.0,717.0,315.0,28.0,16017.53,3.7,Suburban
AK,Ketchikan Gateway,Neutral,02130,13910.0,82763.0,9869.0,1908.0,671.0,145.0,88.0,28.5,4857.02,2.86,Rural
AK,Kodiak Island,Neutral,02150,13065.0,91138.0,8634.0,1655.0,550.0,131.0,122.0,28.5,6689.481,1.95,Rural
AK,Lake And Peninsula,Plaintiff,02164,999.0,61607.0,651.0,56.0,45.0,0.0,0.0,15.5,23831.86,0.04,Rural
AK,Matanuska-Susitna,Defense,02170,108661.0,86435.0,71369.0,10907.0,4499.0,898.0,578.0,23.7,24707.306,4.4,Suburban
