state_abbr,county_name,venue_rating,fips,total_crashes,total_fatalities,alcohol_crashes,pct_alcohol,fars_year,fatality_rate_per_100k
AK,Aleutians East,Plaintiff,02013,0,0,0,0.0,2022.0,
AK,Aleutians West,Plaintiff,02016,0,0,0,0.0,2022.0,
AK,Anchorage,Neutral,02020,20,22,3,15.0,2022.0,7.57
AK,Bethel,Plaintiff,02050,0,0,0,0.0,2022.0,
AK,Bristol Bay,Plaintiff,02060,0,0,0,0.0,2022.0,
AK,Denali,Defense,02068,0,0,0,0.0,2022.0,
AK,Dillingham,Plaintiff,02070,0,0,0,0.0,2022.0,
AK,Fairbanks North Star,Defense,02090,9,9,1,11.1,2022.0,9.35
AK,Haines,Neutral,02100,0,0,0,0.0,2022.0,
AK,Juneau,Neutral,02110,3,3,1,33.3,2022.0,9.34
AK,Kenai Peninsula,Defense,02122,13,16,3,23.1,2022.0,27.01
AK,Ketchikan Gateway,Neutral,02130,1,1,0,0.0,2022.0,7.19
AK,Kodiak Island,Neutral,02150,0,0,0,0.0,2022.0,
AK,Lake And Peninsula,Plaintiff,02164,0,0,0,0.0,2022.0,
AK,Matanuska-Susitna,Defense,02170,25,27,9,36.0,2022.0,24.85
AK,Nome,Plaintiff,02180,0,0,0,0.0,2022.0,
AK,North Slope,Plaintiff,02185,1,1,1,100.0,2022.0,9.15
AK,Northwest Arctic,Plaintiff,02188,0,0,0,0.0,2022.0,
AK,Prince of Wales-Outer Ketchikan,Neutral,02198,0,0,0,0.0,2022.0,
AK,Sitka,Neutral,02220,0,0,0,0.0,2022.0,
AK,Skagway,Neutral,02230,0,0,0,0.0,2022.0,
AK,Southeast Fairbanks,Neutral,02240,0,0,0,0.0,2022.0,
AK,Valdez-Cordova,Neutral,02261,2,2,0,0.0,2022.0,
AK,Wade Hampton,Plaintiff,02270,0,0,0,0.0,2022.0,
AK,Wrangell,Neutral,02275,0,0,0,0.0,2022.0,
AK,Yakutat,Neutral,02282,1,1,1,100.0,2022.0,177.3
AL,Autauga,Defense,01001,9,10,1,11.1,2022.0,17.02
AL,Baldwin,Neutral,01003,30,33,12,40.0,2022.0,14.14
AL,Barbour,Plaintiff,01005,1,1,1,100.0,2022.0,4.02
AL,Bibb,Neutral,01007,2,2,0,0.0,2022.0,8.99
AL,Blount,Neutral,01009,12,12,1,8.3,2022.0,20.31
AL,Bullock,Plaintiff,01011,7,7,0,0.0,2022.0,67.78
AL,Butler,Defense,01013,11,13,4,36.4,2022.0,68.49
AL,Calhoun,Neutral,01015,18,18,6,33.3,2022.0,15.5
AL,Chambers,Neutral,01017,6,7,2,33.3,2022.0,20.22
AL,Cherokee,Neutral,01019,11,12,1,9.1,2022.0,47.87
AL,Chilton,Defense,01021,12,12,4,33.3,2022.0,26.58
