state_abbr,county_name,venue_rating,fips
AK,Aleutians East,Plaintiff,02013
AK,Aleutians West,Plaintiff,02016
AK,Anchorage,Neutral,02020
AK,Bethel,Plaintiff,02050
AK,Bristol Bay,Plaintiff,02060
AK,Denali,Defense,02068
AK,Dillingham,Plaintiff,02070
AK,Fairbanks North Star,Defense,02090
AK,Haines,Neutral,02100
AK,Juneau,Neutral,02110
AK,Kenai Peninsula,Defense,02122
AK,Ketchikan Gateway,Neutral,02130
AK,Kodiak Island,Neutral,02150
AK,Lake And Peninsula,Plaintiff,02164
AK,Matanuska-Susitna,Defense,02170
AK,Nome,Plaintiff,02180
AK,North Slope,Plaintiff,02185
AK,Northwest Arctic,Plaintiff,02188
AK,Prince of Wales-Outer Ketchikan,Neutral,02198
AK,Sitka,Neutral,02220
AK,Skagway,Neutral,02230
AK,Southeast Fairbanks,Neutral,02240
AK,Valdez-Cordova,Neutral,02261
AK,Wade Hampton,Plaintiff,02270
AK,Wrangell,Neutral,02275
AK,Yakutat,Neutral,02282
AL,Autauga,Defense,01001
AL,Baldwin,Neutral,01003
AL,Barbour,Plaintiff,01005
AL,Bibb,Neutral,01007
AL,Blount,Neutral,01009
AL,Bullock,Plaintiff,01011
AL,Butler,Defense,01013
AL,Calhoun,Neutral,01015
AL,Chambers,Neutral,01017
AL,Cherokee,Neutral,01019
AL,Chilton,Defense,01021
AL,Choctaw,Plaintiff,01023
AL,Clarke,Plaintiff,01025
AL,Clay,Defense,01027
AL,Cleburne,Neutral,01029
AL,Coffee,Plaintiff,01031
AL,Colbert,Neutral,01033
AL,Conecuh,Plaintiff,01035
AL,Coosa,Defense,01037
AL,Covington,Defense,01039
AL,Crenshaw,Neutral,01041
AL,Cullman,Defense,01043
AL,Dale,Defense,01045
AL,Dallas,Plaintiff,01047
AL,De Kalb,Neutral,01049
AL,Elmore,Neutral,01051
AL,Escambia,Neutral,01053
AL,Etowah,Neutral,01055
AL,Fayette,Neutral,01057
AL,Franklin,Neutral,01059
AL,Geneva,Neutral,01061
AL,Greene,Plaintiff,01063
AL,Hale,Plaintiff,01065
AL,Henry,Defense,01067
AL,Houston,Defense,01069
AL,Jackson,Neutral,01071
AL,Jefferson,Plaintiff,01073
AL,Lamar,Neutral,01075
AL,Lauderdale,Defense,01077
AL,Lawrence,Defense,01079
AL,Lee,Defense,01081
AL,Limestone,Neutral,01083
AL,Lowndes,Plaintiff,01085
AL,Macon,Plaintiff,01087
AL,Madison,Defense,01089
AL,Marengo,Plaintiff,01091
AL,Marion,Neutral,01093
AL,Marshall,Neutral,01095
AL,Mobile,Plaintiff,01097
AL,Monroe,Neutral,01099
AL,Montgomery,Plaintiff,01101
AL,Morgan,Neutral,01103
AL,Perry,Plaintiff,01105
AL,Pickens,Neutral,01107
AL,Pike,Neutral,01109
AL,Randolph,Neutral,01111
AL,Russell,Plaintiff,01113
AL,St. Clair,Neutral,01115
AL,Shelby,Defense,01117
AL,Sumter,Plaintiff,01119
AL,Talladega,Defense,01121
AL,Tallapoosa,Neutral,01123
AL,Tuscaloosa,Neutral,01125
AL,Walker,Neutral,01127
AL,Washington,Plaintiff,01129
AL,Wilcox,Plaintiff,01131
AL,Winston,Neutral,01133
AZ,Apache,Defense,04001
AZ,Cochise,Defense,04003
AZ,Coconino,Neutral,04005
AZ,Gila,Defense,04007
AZ,Graham,Defense,04009
AZ,Greenlee,Defense,04011
AZ,La Paz,Defense,04012
AZ,Maricopa,Neutral,04013
AZ,Mohave,Neutral,04015
AZ,Navajo,Defense,04017
AZ,Pima,Plaintiff,04019
AZ,Pinal,Neutral,04021
AZ,Santa Cruz,Defense,04023
AZ,Yavapai,Neutral,04025
AZ,Yuma,Neutral,04027
AR,Arkansas,Neutral,05001
AR,Ashley,Neutral,05003
AR,Baxter,Defense,05005
