state_abbr,county_name,venue_rating
AK,Aleutians East,Plaintiff
AK,Aleutians West,Plaintiff
AK,Anchorage,Neutral
AK,Bethel,Plaintiff
AK,Bristol Bay,Plaintiff
AK,Denali,Defense
AK,Dillingham,Plaintiff
AK,Fairbanks North Star,Defense
AK,Haines,Neutral
AK,Juneau,Neutral
AK,Kenai Peninsula,Defense
AK,Ketchikan Gateway,Neutral
AK,Kodiak Island,Neutral
AK,Lake And Peninsula,Plaintiff
AK,Matanuska-Susitna,Defense
AK,Nome,Plaintiff
AK,North Slope,Plaintiff
AK,Northwest Arctic,Plaintiff
AK,Prince of Wales-Outer Ketchikan,Neutral
AK,Sitka,Neutral
AK,Skagway,Neutral
AK,Southeast Fairbanks,Neutral
AK,Valdez-Cordova,Neutral
AK,Wade Hampton,Plaintiff
AK,Wrangell,Neutral
AK,Yakutat,Neutral
AL,Autauga,Defense
AL,Baldwin,Neutral
AL,Barbour,Plaintiff
AL,Bibb,Neutral
AL,Blount,Neutral
AL,Bullock,Plaintiff
AL,Butler,Defense
AL,Calhoun,Neutral
AL,Chambers,Neutral
AL,Cherokee,Neutral
AL,Chilton,Defense
AL,Choctaw,Plaintiff
AL,Clarke,Plaintiff
AL,Clay,Defense
AL,Cleburne,Neutral
AL,Coffee,Plaintiff
AL,Colbert,Neutral
AL,Conecuh,Plaintiff
AL,Coosa,Defense
AL,Covington,Defense
AL,Crenshaw,Neutral
AL,Cullman,Defense
AL,Dale,Defense
AL,Dallas,Plaintiff
AL,De Kalb,Neutral
AL,Elmore,Neutral
AL,Escambia,Neutral
AL,Etowah,Neutral
AL,Fayette,Neutral
AL,Franklin,Neutral
AL,Geneva,Neutral
AL,Greene,Plaintiff
AL,Hale,Plaintiff
AL,Henry,Defense
AL,Houston,Defense
AL,Jackson,Neutral
AL,Jefferson,Plaintiff
AL,Lamar,Neutral
AL,Lauderdale,Defense
AL,Lawrence,Defense
AL,Lee,Defense
AL,Limestone,Neutral
AL,Lowndes,Plaintiff
AL,Macon,Plaintiff
AL,Madison,Defense
AL,Marengo,Plaintiff
AL,Marion,Neutral
AL,Marshall,Neutral
AL,Mobile,Plaintiff
AL,Monroe,Neutral
AL,Montgomery,Plaintiff
AL,Morgan,Neutral
AL,Perry,Plaintiff
AL,Pickens,Neutral
AL,Pike,Neutral
AL,Randolph,Neutral
AL,Russell,Plaintiff
AL,St. Clair,Neutral
AL,Shelby,Defense
AL,Sumter,Plaintiff
AL,Talladega,Defense
AL,Tallapoosa,Neutral
AL,Tuscaloosa,Neutral
AL,Walker,Neutral
